Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
70,8.45057,-12.54930,-32.51250,-50.79130,4.17852,-12.06440,24.00850,43.01620,-15.03320,21.58610,11.87620,-11.79820,-30.10720,-14.51870,161.78000,-69.33250,165.09200,55.48820,865.79100,305.56800
71,8.45319,-12.54350,-32.52390,-50.77720,4.17757,-12.06960,24.02350,43.04800,-15.04960,21.59410,11.86130,-11.82700,-30.11700,-14.53970,161.74200,-69.33630,165.06700,55.54500,865.80100,305.63400
72,8.45511,-12.54520,-32.57700,-50.77520,4.24929,-12.09220,24.26550,43.02500,-15.04530,21.62240,11.86940,-11.92020,-30.35610,-14.60480,161.78300,-69.35540,165.10500,55.59140,865.77000,305.62400
73,8.45590,-12.54360,-32.58330,-50.76420,4.26309,-12.09920,24.32550,43.05710,-15.05820,21.61760,11.85550,-11.96770,-30.41080,-14.63560,161.74400,-69.36110,165.07800,55.63190,865.77100,305.69200
74,8.45732,-12.53870,-32.56320,-50.76740,4.26865,-12.08950,24.30240,43.03490,-15.10010,21.58410,11.84760,-12.01390,-30.38890,-14.63640,161.63400,-69.35500,164.97300,55.75070,865.79200,305.78200
75,8.46084,-12.53830,-32.55020,-50.73930,4.26630,-12.08360,24.29320,43.02480,-15.11570,21.56930,11.83940,-12.03130,-30.38270,-14.64230,161.59300,-69.35810,164.93800,55.81040,865.76900,305.85900
76,8.45563,-12.53620,-32.54580,-50.75260,4.25979,-12.08720,24.28760,43.08180,-15.12500,21.54520,11.81930,-12.05080,-30.37320,-14.65780,161.54500,-69.36640,164.90300,55.87100,865.78500,305.94100
77,8.44650,-12.53680,-32.55160,-50.75560,4.21633,-12.06800,24.19820,43.08100,-15.12960,21.53960,11.81570,-12.00740,-30.30430,-14.63100,161.52500,-69.37810,164.88200,55.90910,865.76200,306.00700
78,8.45543,-12.53900,-32.56260,-50.73830,4.24487,-12.07500,24.25860,43.11690,-15.15760,21.54370,11.80800,-12.06970,-30.35510,-14.66380,161.47000,-69.38030,164.83700,55.98380,865.77800,306.07300
79,8.44765,-12.53780,-32.57720,-50.72430,4.20261,-12.05960,24.18150,43.12180,-15.15340,21.54890,11.79420,-12.03090,-30.30360,-14.65220,161.46400,-69.39810,164.83700,56.01280,865.77000,306.14300
80,8.44706,-12.51860,-32.59630,-50.69530,4.24532,-12.07000,24.26630,43.10880,-15.16730,21.55840,11.79180,-12.09070,-30.37890,-14.68500,161.44100,-69.40280,164.81700,56.06540,865.76800,306.20900
