Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
91,11.358400,-9.992610,-28.648700,-37.946600,4.717360,-9.960320,21.696000,35.912300,-14.905500,20.430800,8.365210,-11.348600,-22.625800,-10.037700,166.114000,-54.501100,171.600000,40.756000,876.369000,435.740000
92,11.367800,-9.993110,-28.729100,-37.909000,4.744080,-9.896790,21.981900,35.678400,-14.997600,20.450800,8.357740,-11.507000,-22.957700,-10.097500,165.950000,-54.528200,171.455000,40.487100,876.443000,435.895000
93,11.329800,-10.052000,-28.622200,-38.061900,4.678590,-9.923870,21.712100,35.788900,-15.019000,20.274400,8.285220,-11.500000,-22.715200,-10.102400,165.785000,-54.566200,171.336000,40.189300,876.419000,436.016000
94,11.338000,-10.080900,-28.655800,-38.078000,4.762530,-9.865910,22.138100,35.644000,-15.089300,20.246200,8.249410,-11.682700,-23.021100,-10.193600,165.626000,-54.603200,171.209000,39.849500,876.443000,436.197000
95,11.370900,-10.117000,-28.717500,-38.105500,4.739870,-9.881350,22.023100,35.602900,-15.210500,20.228400,8.231800,-11.776900,-23.083400,-10.224600,165.417000,-54.643900,171.028000,39.512900,876.462000,436.420000
96,11.383000,-10.151700,-28.764000,-38.169500,4.594190,-9.771350,21.909700,35.562100,-15.290800,20.184300,8.195510,-11.741600,-22.935600,-10.207600,165.241000,-54.698800,170.880000,39.128100,876.486000,436.641000
97,11.402600,-10.208000,-28.827600,-38.244800,4.547720,-9.739810,21.725900,35.561700,-15.369300,20.144000,8.156180,-11.763400,-22.818800,-10.226500,165.071000,-54.752600,170.738000,38.702300,876.502000,436.912000
98,11.385800,-10.167500,-28.887600,-38.204600,4.711940,-9.712460,22.155400,35.197300,-15.469200,20.098300,8.124850,-12.065400,-23.424800,-10.355400,164.872000,-54.792000,170.549000,38.266200,876.601000,437.267000
99,11.392700,-10.208100,-28.908600,-38.291600,4.730340,-9.608460,22.335200,34.962700,-15.557000,20.027000,8.076380,-12.198200,-23.554900,-10.412700,164.669000,-54.837400,170.373000,37.791100,876.639000,437.640000
100,11.384700,-10.244700,-28.977500,-38.381500,4.252480,-9.698600,19.961700,35.789200,-15.532100,19.998700,7.961540,-11.492100,-21.310500,-10.179000,164.582000,-54.932400,170.345000,37.062800,876.559000,437.953000
101,11.419000,-10.286700,-29.022500,-38.435000,4.575970,-9.548060,21.677600,35.036500,-15.695900,19.986100,7.979440,-12.164500,-23.082300,-10.428100,164.332000,-54.920000,170.087000,36.677600,876.682000,438.419000
102,11.434400,-10.319300,-29.190700,-38.438600,4.603640,-9.528500,21.685600,34.829800,-15.763700,20.076400,7.935940,-12.283000,-23.280700,-10.519400,164.184000,-54.968300,169.959000,35.989000,876.726000,438.904000
103,11.395500,-10.385900,-29.078400,-38.625500,4.587200,-9.463030,21.561300,34.728300,-15.795900,19.882600,7.853120,-12.365100,-23.214500,-10.561400,163.985000,-54.991300,169.782000,35.346200,876.774000,439.422000
104,11.396900,-10.489800,-29.116100,-38.733000,4.037340,-9.432560,19.183600,35.389500,-15.769500,19.847200,7.738400,-11.639700,-20.991900,-10.317800,163.884000,-55.064600,169.730000,34.430700,876.756000,439.959000
105,11.408200,-10.554000,-29.197900,-38.861900,3.999960,-9.336280,18.875700,35.308100,-15.853400,19.842900,7.697090,-11.675800,-20.774800,-10.334500,163.696000,-55.074400,169.553000,33.723200,876.812000,440.567000
106,11.395100,-10.625900,-29.308700,-38.986900,4.115890,-9.273210,19.015600,35.038500,-15.905400,19.870100,7.649840,-11.856600,-21.013000,-10.429200,163.538000,-55.100200,169.395000,32.903400,876.864000,441.223000
107,11.434400,-10.668700,-29.253300,-38.994600,4.575560,-9.063380,20.976100,33.980800,-16.039200,19.758300,7.606930,-12.690900,-23.043400,-10.779200,163.282000,-55.082100,169.143000,32.195400,877.051000,442.063000
108,11.457800,-10.671800,-29.443000,-38.963500,4.595870,-8.895310,21.147700,33.203400,-16.122000,19.852600,7.540210,-12.899000,-23.474400,-10.903700,163.115000,-55.118400,168.987000,31.213400,877.163000,442.958000
109,11.439700,-10.756700,-29.322500,-39.135000,4.752640,-8.757470,21.339100,32.790900,-16.143300,19.633600,7.447270,-13.146100,-23.716200,-11.039900,162.937000,-55.129600,168.810000,30.267400,877.276000,443.831000
110,11.488600,-10.856400,-29.518900,-39.230100,4.350230,-8.721450,19.183100,33.746600,-16.135500,19.738300,7.342740,-12.469900,-21.513700,-10.846900,162.885000,-55.176600,168.784000,29.067700,877.260000,444.772000
111,11.524500,-10.925200,-29.568400,-39.286500,4.701650,-8.476070,20.744000,32.565300,-16.267100,19.726400,7.312560,-13.219700,-23.287700,-11.157000,162.653000,-55.132700,168.538000,28.173200,877.439000,445.849000
112,11.482000,-11.083800,-29.335500,-39.598700,4.389260,-8.373470,19.004100,33.208500,-16.173700,19.378600,7.144190,-12.691000,-21.505900,-11.014900,162.545000,-55.197300,168.443000,26.885300,877.487000,446.869000
113,11.608800,-11.110600,-29.647300,-39.589800,4.628740,-8.163330,20.011000,32.279800,-16.367000,19.612800,7.126130,-13.256800,-22.718400,-11.277300,162.335000,-55.162000,168.234000,25.797000,877.622000,448.129000
